"ID","name"
"1","Chế Thanh"
"2","Chí Viễn"
"3","Dương Xuân Quyền"
"4","Phương Linh (Ngôi Sao Việt)"
"5","Hoàng Việt Trang"
"6","Cao Hoàng"
"7","Thanh Thu"
"8","Bảo Nam"
"9","Hoàng Nhứt"
"10","Trọng Thanh"
"11","Luân Phan"
"12","Nhã Chi"
"13","Ân Thiên Vỹ"
"14","Bảo Hưng"
"15","Henry"
"16","Tâm Đoan"
"17","Duy Trường"
"18","Mạnh Quỳnh"
"19","Bảo Cường, V.A"
"20","Đoàn Minh"
"21","Hoài Thanh"
"22","Hoài Phương"
"23","Dương Nghi Đình"
"24","Đàm Vĩnh Hưng"
"25","Dương Hồng Loan"
"26","Dương Ngọc Thái"
"27","Huy Huy"
"28","Bảo Thắng"
"29","Thanh Yên"
"30","Lưu Ánh Loan"
"31","Cẩm Loan"
"32","Tuyết Mai"
"33","Alex Châu"
"34","Thanh Tâm"
"35","Bằng Chương"
"36","Khưu Huy Vũ"
"37","Juice WRLD"
"38","GAYLE"
"39","Clemens"
"40","Trần Thu Hà"
"41","Fadi"
"42","Miguel"
"43","Sofia Reyes"
"44","Hensonn"
"45","Adryann Bisara Official"
"46","Joshua Bassett"
"47","Rei Brown"
"48","niaolin"
"49","Jovanotti"
"50","Céline Dion"
"51","Mxmtoon"
"52","Phương Vy"
"53","Zoe Saldana"
"54","Thảo Bunny"
"55","Rihanna"
"56","Jayn"
"57","Zayn"
"58","Key Glock"
"59","Metro Boomin"
"60","Edwin Starr"
"61","Lư Uyển Nghi (Vivien Loh)"
"62","EBEN"
"63","Gorran"
"64","Demi Lovato"
"65","Maroon 5"
"66","Jessie J"
"67","Vaultboy"
"68","Walk Off The Earth"
"69","Kyle May"
"70","Sophie Ellis-Bextor"
"71","RKVC"
"72","Chi Xê"
"73","ROAR"
"74","Justin Bieber"
"75","Vương Mẫn Thuần (Chanel Wang)"
"76","Sarra Lương Hinh Dư"
"77","Mandy B. Man"
"78","Bạc Hà"
"79","Songs For Children"
"80","Young Summer"
"81","James Arthur"
"82","ONEUS"
"83","Austin George"
"84","Tống Giang"
"85","Thu Minh"
"86","V.A"
"87","MIIA"
"88","Rad Cat"
"89","Xuân Quỳnh - GD"
"90","Stockholm Syndrome"
"91","Sam Smith"
"92","Paul Mayo"
"93","Celina Amira Caswell"
"94","Aaron Sergent"
"95","Audrey Babe"
"96","ISSA"
"97","ALEPH"
"98","The Strokes"
"99","XSOLEIL"
"100","The Rare Occasions"
"101","Good Kid"
"102","Fubito Endo"
"103","Honeycut"
"104","Nine One One"
"105","Casey Edwards"
"106","Piero Pelu"
"107","Lana Del Rey"
"108","Nina Hagen"
"109","Radiohead"
"110","Stan Bush"
"111","Cigarettes After Sex"
"112","Can Gungor"
"113","J Crist"
"114","Moon"
"115","Baptiste Trotignon"
"116","Coleman Hawkins"
"117","Coleman Hawkins' Swing Four"
"118","Coleman Hawkins All Stars"
"119","Dmarcus"
"120","Pasquale Grasso"
"121","Leonard Feather"
"122","Mr. Sad Head"
"123","Coleman Hawkins' 52nd Street All-Stars"
"124","Lyambiko"
"125","Cozy Cole's All Stars"
"126","Triosence"
"127","VPROD Publishing"
"128","Caity Gyorgy"
"129","Alvin Queen Trio"
"130","Richard X Bennett"
"131","Sean Gibbs"
"132","San2 & Sebastian"
"133","Thyro"
"134","Kurt Elling"
"135","Metronome All Star Band"
"136","Coleman Hawkins & His Orchestra"
"137","Silje Nergaard"
"138","Mai Trâm"
"139","Phạm Chiến"
"140","Nguyễn Văn Hiên"
"141","Phan Mạnh Thắng"
"142","Quốc Hưng (NSND)"
"143","Ngô Duy Thanh"
"144","Y Jang Tuyn"
"145","Khánh Vinh"
"146","Nguyễn Ngọc Thiện"
"147","Kông Lương"
"148","Thanh Danh"
"149","Phạm Hưng"
"150","Nguyễn Thái Hiệp"
"151","Thái Hòa"
"152","Trung Cao"
"153","Trọng Tấn, Anh Thơ"
"154","Nguyễn Vinh Sơn"
"155","Minh Quang"
"156","Lạc Việt"
"157","Khánh Linh"
"158","Huỳnh Lợi"
"159","Trần Khánh (NSND)"
"160","Hà Chi"
"161","Nguyễn Phương Hằng"
"162","Vân Anh"
"163","Trần Ngọc Nguyên"
"164","Lê Chí Hiếu"
"165","Hoàng Nghiệp"
"166","Quang Phúc"
"167","Mạnh Cường"
"168","Viết Đại"
"169","Bùi Thắng"
"170","Thanh Bình"
"171","Phan Thu"
"172","Tài Nguyễn"
"173","Thanh Huyền (NSND)"
"174","Huy Phạm"
"175","Hoài Nam"
"176","Thế Huy"
"177","Thùy Dương"
"178","Hương Liên"
"179","Vũ Tiến Lâm (NSƯT)"
"180","Phúc Tiệp"
"181","Trọng Khải"
